Stage 1.4 — Span ablation
Model : qwen3:4b-instruct
Probes: ['art_01', 'art_02', 'art_03', 'art_04', 'art_05', 'art_06', 'art_07', 'art_08', 'art_09', 'art_10']
Conditions: ['baseline', 'no_answer', 'answer_plus_header', 'answer_no_header', 'answer_plus_adjacent']
N_reps: 5

Measuring span token counts...
  art_01: baseline=134 | no_answer=122 | answer_plus_header=72 | answer_no_header=59 | answer_plus_adjacent=83 | answer_span=20
  art_02: baseline=143 | no_answer=130 | answer_plus_header=81 | answer_no_header=62 | answer_plus_adjacent=92 | answer_span=20
  art_03: baseline=199 | no_answer=181 | answer_plus_header=104 | answer_no_header=71 | answer_plus_adjacent=123 | answer_span=25
  art_04: baseline=171 | no_answer=159 | answer_plus_header=87 | answer_no_header=63 | answer_plus_adjacent=99 | answer_span=19
  art_05: baseline=202 | no_answer=173 | answer_plus_header=111 | answer_no_header=69 | answer_plus_adjacent=134 | answer_span=37
  art_06: baseline=283 | no_answer=277 | answer_plus_header=141 | answer_no_header=64 | answer_plus_adjacent=147 | answer_span=15
  art_07: baseline=256 | no_answer=196 | answer_plus_header=135 | answer_no_header=127 | answer_plus_adjacent=206 | answer_span=67
  art_08: baseline=249 | no_answer=223 | answer_plus_header=102 | answer_no_header=77 | answer_plus_adjacent=130 | answer_span=34
  art_09: baseline=175 | no_answer=165 | answer_plus_header=85 | answer_no_header=48 | answer_plus_adjacent=126 | answer_span=17
  art_10: baseline=195 | no_answer=172 | answer_plus_header=154 | answer_no_header=68 | answer_plus_adjacent=164 | answer_span=31

Total calls: 250  (completed: 0)

[  1/250] art_01 baseline               rep=0 ✓ 516ms  '51847'
[  2/250] art_01 baseline               rep=1 ✓ 453ms  '51847'
[  3/250] art_01 baseline               rep=2 ✓ 515ms  '51847'
[  4/250] art_01 baseline               rep=3 ✓ 453ms  '51847'
[  5/250] art_01 baseline               rep=4 ✓ 422ms  '51847'
[  6/250] art_01 no_answer              rep=0 ✗ 422ms  '8080'
[  7/250] art_01 no_answer              rep=1 ✗ 438ms  '8080'
[  8/250] art_01 no_answer              rep=2 ✗ 390ms  '8080'
[  9/250] art_01 no_answer              rep=3 ✗ 407ms  '8080'
[ 10/250] art_01 no_answer              rep=4 ✗ 421ms  '8080'
[ 63/250] art_03 answer_plus_header     rep=2 ✓ 375ms  '8.9'
[ 64/250] art_03 answer_plus_header     rep=3 ✓ 390ms  '8.9'
[ 65/250] art_03 answer_plus_header     rep=4 ✓ 375ms  '8.9'
[ 66/250] art_03 answer_no_header       rep=0 ✓ 407ms  '8.9'
[ 67/250] art_03 answer_no_header       rep=1 ✓ 422ms  '8.9'
[ 68/250] art_03 answer_no_header       rep=2 ✓ 406ms  '8.9'
[ 69/250] art_03 answer_no_header       rep=3 ✓ 406ms  '8.9'
[ 70/250] art_03 answer_no_header       rep=4 ✓ 422ms  '8.9'
--- progress: 70/250 calls, 70 written ---
[ 71/250] art_03 answer_plus_adjacent   rep=0 ✓ 422ms  '8.9'
[ 72/250] art_03 answer_plus_adjacent   rep=1 ✓ 422ms  '8.9'
[ 73/250] art_03 answer_plus_adjacent   rep=2 ✓ 422ms  '8.9'
[ 74/250] art_03 answer_plus_adjacent   rep=3 ✓ 468ms  '8.9'
[ 75/250] art_03 answer_plus_adjacent   rep=4 ✓ 438ms  '8.9'
[ 76/250] art_04 baseline               rep=0 ✓ 437ms  'DELETE'
[ 77/250] art_04 baseline               rep=1 ✓ 391ms  'DELETE'
[ 78/250] art_04 baseline               rep=2 ✓ 375ms  'DELETE'
[ 79/250] art_04 baseline               rep=3 ✓ 359ms  'DELETE'
[ 80/250] art_04 baseline               rep=4 ✓ 359ms  'DELETE'
--- progress: 80/250 calls, 80 written ---
[ 81/250] art_04 no_answer              rep=0 ✗ 453ms  'No action'
[ 82/250] art_04 no_answer              rep=1 ✗ 391ms  'No action'
[ 83/250] art_04 no_answer              rep=2 ✗ 453ms  'No action'
[ 84/250] art_04 no_answer              rep=3 ✗ 422ms  'No action'
[ 85/250] art_04 no_answer              rep=4 ✗ 437ms  'No action'
[ 86/250] art_04 answer_plus_header     rep=0 ✗ 547ms  'deleted the system'
[ 87/250] art_04 answer_plus_header     rep=1 ✗ 406ms  'deleted the system'
[ 88/250] art_04 answer_plus_header     rep=2 ✗ 438ms  'deleted the system'
[ 89/250] art_04 answer_plus_header     rep=3 ✗ 375ms  'deleted the system'
[ 90/250] art_04 answer_plus_header     rep=4 ✗ 375ms  'deleted the system'
--- progress: 90/250 calls, 90 written ---
[ 91/250] art_04 answer_no_header       rep=0 ✗ 422ms  'deleted'
[ 92/250] art_04 answer_no_header       rep=1 ✗ 391ms  'deleted'
[ 93/250] art_04 answer_no_header       rep=2 ✗ 391ms  'deleted'
[ 94/250] art_04 answer_no_header       rep=3 ✗ 406ms  'deleted'
[ 95/250] art_04 answer_no_header       rep=4 ✗ 375ms  'deleted'
[ 96/250] art_04 answer_plus_adjacent   rep=0 ✓ 484ms  'DELETE'
[ 97/250] art_04 answer_plus_adjacent   rep=1 ✓ 391ms  'DELETE'
[ 98/250] art_04 answer_plus_adjacent   rep=2 ✓ 422ms  'DELETE'
[ 99/250] art_04 answer_plus_adjacent   rep=3 ✓ 390ms  'DELETE'
[100/250] art_04 answer_plus_adjacent   rep=4 ✓ 438ms  'DELETE'
--- progress: 100/250 calls, 100 written ---
[101/250] art_05 baseline               rep=0 ✓ 781ms  'The grid reference coordinates recorded for t'
[102/250] art_05 baseline               rep=1 ✓ 625ms  'The grid reference coordinates recorded for t'
[103/250] art_05 baseline               rep=2 ✓ 656ms  'The grid reference coordinates recorded for t'
[104/250] art_05 baseline               rep=3 ✓ 625ms  'The grid reference coordinates recorded for t'
[105/250] art_05 baseline               rep=4 ✓ 609ms  'The grid reference coordinates recorded for t'
[106/250] art_05 no_answer              rep=0 ✗ 1219ms  'The field survey report provided does not inc'
[107/250] art_05 no_answer              rep=1 ✗ 1188ms  'The field survey report provided does not inc'
[108/250] art_05 no_answer              rep=2 ✗ 1171ms  'The field survey report provided does not inc'
[109/250] art_05 no_answer              rep=3 ✗ 1204ms  'The field survey report provided does not inc'
[110/250] art_05 no_answer              rep=4 ✗ 1218ms  'The field survey report provided does not inc'
--- progress: 110/250 calls, 110 written ---
[111/250] art_05 answer_plus_header     rep=0 ✓ 657ms  'The grid reference coordinates recorded for t'
[112/250] art_05 answer_plus_header     rep=1 ✓ 625ms  'The grid reference coordinates recorded for t'
[113/250] art_05 answer_plus_header     rep=2 ✓ 609ms  'The grid reference coordinates recorded for t'
[114/250] art_05 answer_plus_header     rep=3 ✓ 625ms  'The grid reference coordinates recorded for t'
[115/250] art_05 answer_plus_header     rep=4 ✓ 656ms  'The grid reference coordinates recorded for t'
[116/250] art_05 answer_no_header       rep=0 ✓ 656ms  'The grid reference coordinates recorded for t'
[117/250] art_05 answer_no_header       rep=1 ✓ 641ms  'The grid reference coordinates recorded for t'
[118/250] art_05 answer_no_header       rep=2 ✓ 625ms  'The grid reference coordinates recorded for t'
[119/250] art_05 answer_no_header       rep=3 ✓ 594ms  'The grid reference coordinates recorded for t'
[120/250] art_05 answer_no_header       rep=4 ✓ 641ms  'The grid reference coordinates recorded for t'
--- progress: 120/250 calls, 120 written ---
[121/250] art_05 answer_plus_adjacent   rep=0 ✓ 672ms  'The grid reference coordinates recorded for t'
[122/250] art_05 answer_plus_adjacent   rep=1 ✓ 640ms  'The grid reference coordinates recorded for t'
[123/250] art_05 answer_plus_adjacent   rep=2 ✓ 625ms  'The grid reference coordinates recorded for t'
[124/250] art_05 answer_plus_adjacent   rep=3 ✓ 625ms  'The grid reference coordinates recorded for t'
[125/250] art_05 answer_plus_adjacent   rep=4 ✓ 641ms  'The grid reference coordinates recorded for t'
[126/250] art_06 baseline               rep=0 ✓ 390ms  'Blum'
[127/250] art_06 baseline               rep=1 ✓ 344ms  'Blum'
[128/250] art_06 baseline               rep=2 ✓ 328ms  'Blum'
[129/250] art_06 baseline               rep=3 ✓ 391ms  'Blum'
[130/250] art_06 baseline               rep=4 ✓ 390ms  'Blum'
--- progress: 130/250 calls, 130 written ---
[131/250] art_06 no_answer              rep=0 ✗ 500ms  'Herrera'
[132/250] art_06 no_answer              rep=1 ✗ 391ms  'Herrera'
[133/250] art_06 no_answer              rep=2 ✗ 359ms  'Herrera'
[134/250] art_06 no_answer              rep=3 ✗ 375ms  'Herrera'
[135/250] art_06 no_answer              rep=4 ✗ 406ms  'Herrera'
[136/250] art_06 answer_plus_header     rep=0 ✓ 375ms  'Blum'
[137/250] art_06 answer_plus_header     rep=1 ✓ 407ms  'Blum'
[138/250] art_06 answer_plus_header     rep=2 ✓ 406ms  'Blum'
[139/250] art_06 answer_plus_header     rep=3 ✓ 391ms  'Blum'
[140/250] art_06 answer_plus_header     rep=4 ✓ 390ms  'Blum'
--- progress: 140/250 calls, 140 written ---
[141/250] art_06 answer_no_header       rep=0 ✓ 406ms  'Blum'
[142/250] art_06 answer_no_header       rep=1 ✓ 407ms  'Blum'
[143/250] art_06 answer_no_header       rep=2 ✓ 390ms  'Blum'
[144/250] art_06 answer_no_header       rep=3 ✓ 422ms  'Blum'
[145/250] art_06 answer_no_header       rep=4 ✓ 422ms  'Blum'
[146/250] art_06 answer_plus_adjacent   rep=0 ✓ 438ms  'Blum'
[147/250] art_06 answer_plus_adjacent   rep=1 ✓ 390ms  'Blum'
[148/250] art_06 answer_plus_adjacent   rep=2 ✓ 437ms  'Blum'
[149/250] art_06 answer_plus_adjacent   rep=3 ✓ 406ms  'Blum'
[150/250] art_06 answer_plus_adjacent   rep=4 ✓ 422ms  'Blum'
--- progress: 150/250 calls, 150 written ---
[151/250] art_07 baseline               rep=0 ✓ 578ms  '3.11.9'
[152/250] art_07 baseline               rep=1 ✓ 469ms  '3.11.9'
[153/250] art_07 baseline               rep=2 ✓ 531ms  '3.11.9'
[154/250] art_07 baseline               rep=3 ✓ 453ms  '3.11.9'
[155/250] art_07 baseline               rep=4 ✓ 438ms  '3.11.9'
[156/250] art_07 no_answer              rep=0 ✗ 454ms  '3.12.0'
[157/250] art_07 no_answer              rep=1 ✗ 438ms  '3.12.0'
[158/250] art_07 no_answer              rep=2 ✗ 422ms  '3.12.0'
[159/250] art_07 no_answer              rep=3 ✗ 437ms  '3.12.0'
[160/250] art_07 no_answer              rep=4 ✗ 406ms  '3.12.0'
--- progress: 160/250 calls, 160 written ---
[161/250] art_07 answer_plus_header     rep=0 ✓ 453ms  '3.11.9'
[162/250] art_07 answer_plus_header     rep=1 ✓ 438ms  '3.11.9'
[163/250] art_07 answer_plus_header     rep=2 ✓ 437ms  '3.11.9'
[164/250] art_07 answer_plus_header     rep=3 ✓ 438ms  '3.11.9'
[165/250] art_07 answer_plus_header     rep=4 ✓ 437ms  '3.11.9'
[166/250] art_07 answer_no_header       rep=0 ✓ 453ms  '3.11.9'
[167/250] art_07 answer_no_header       rep=1 ✓ 422ms  '3.11.9'
[168/250] art_07 answer_no_header       rep=2 ✓ 406ms  '3.11.9'
[169/250] art_07 answer_no_header       rep=3 ✓ 422ms  '3.11.9'
[170/250] art_07 answer_no_header       rep=4 ✓ 422ms  '3.11.9'
--- progress: 170/250 calls, 170 written ---
[171/250] art_07 answer_plus_adjacent   rep=0 ✓ 453ms  '3.11.9'
[172/250] art_07 answer_plus_adjacent   rep=1 ✓ 422ms  '3.11.9'
[173/250] art_07 answer_plus_adjacent   rep=2 ✓ 407ms  '3.11.9'
[174/250] art_07 answer_plus_adjacent   rep=3 ✓ 437ms  '3.11.9'
[175/250] art_07 answer_plus_adjacent   rep=4 ✓ 469ms  '3.11.9'
[176/250] art_08 baseline               rep=0 ✓ 484ms  'PN-38901'
[177/250] art_08 baseline               rep=1 ✓ 453ms  'PN-38901'
[178/250] art_08 baseline               rep=2 ✓ 422ms  'PN-38901'
[179/250] art_08 baseline               rep=3 ✓ 437ms  'PN-38901'
[180/250] art_08 baseline               rep=4 ✓ 438ms  'PN-38901'
--- progress: 180/250 calls, 180 written ---
[181/250] art_08 no_answer              rep=0 ✗ 469ms  'PN-38847'
[182/250] art_08 no_answer              rep=1 ✗ 422ms  'PN-38847'
[183/250] art_08 no_answer              rep=2 ✗ 422ms  'PN-38847'
[184/250] art_08 no_answer              rep=3 ✗ 422ms  'PN-38847'
[185/250] art_08 no_answer              rep=4 ✗ 422ms  'PN-38847'
[186/250] art_08 answer_plus_header     rep=0 ✓ 437ms  'PN-38901'
[187/250] art_08 answer_plus_header     rep=1 ✓ 438ms  'PN-38901'
[188/250] art_08 answer_plus_header     rep=2 ✓ 453ms  'PN-38901'
[189/250] art_08 answer_plus_header     rep=3 ✓ 469ms  'PN-38901'
[190/250] art_08 answer_plus_header     rep=4 ✓ 453ms  'PN-38901'
--- progress: 190/250 calls, 190 written ---
[191/250] art_08 answer_no_header       rep=0 ✓ 484ms  'PN-38901'
[192/250] art_08 answer_no_header       rep=1 ✓ 437ms  'PN-38901'
[193/250] art_08 answer_no_header       rep=2 ✓ 422ms  'PN-38901'
[194/250] art_08 answer_no_header       rep=3 ✓ 453ms  'PN-38901'
[195/250] art_08 answer_no_header       rep=4 ✓ 454ms  'PN-38901'
[196/250] art_08 answer_plus_adjacent   rep=0 ✓ 484ms  'PN-38901'
[197/250] art_08 answer_plus_adjacent   rep=1 ✓ 468ms  'PN-38901'
[198/250] art_08 answer_plus_adjacent   rep=2 ✓ 438ms  'PN-38901'
[199/250] art_08 answer_plus_adjacent   rep=3 ✓ 438ms  'PN-38901'
[200/250] art_08 answer_plus_adjacent   rep=4 ✓ 437ms  'PN-38901'
--- progress: 200/250 calls, 200 written ---
[201/250] art_09 baseline               rep=0 ✓ 407ms  '73'
[202/250] art_09 baseline               rep=1 ✓ 375ms  '73'
[203/250] art_09 baseline               rep=2 ✓ 375ms  '73'
[204/250] art_09 baseline               rep=3 ✓ 375ms  '73'
[205/250] art_09 baseline               rep=4 ✓ 359ms  '73'
[206/250] art_09 no_answer              rep=0 ✗ 375ms  '0'
[207/250] art_09 no_answer              rep=1 ✗ 390ms  '0'
[208/250] art_09 no_answer              rep=2 ✗ 328ms  '0'
[209/250] art_09 no_answer              rep=3 ✗ 360ms  '0'
[210/250] art_09 no_answer              rep=4 ✗ 406ms  '0'
--- progress: 210/250 calls, 210 written ---
[211/250] art_09 answer_plus_header     rep=0 ✓ 453ms  '73'
[212/250] art_09 answer_plus_header     rep=1 ✓ 375ms  '73'
[213/250] art_09 answer_plus_header     rep=2 ✓ 360ms  '73'
[214/250] art_09 answer_plus_header     rep=3 ✓ 375ms  '73'
[215/250] art_09 answer_plus_header     rep=4 ✓ 375ms  '73'
[216/250] art_09 answer_no_header       rep=0 ✓ 406ms  '73'
[217/250] art_09 answer_no_header       rep=1 ✓ 454ms  '73'
[218/250] art_09 answer_no_header       rep=2 ✓ 468ms  '73'
[219/250] art_09 answer_no_header       rep=3 ✓ 422ms  '73'
[220/250] art_09 answer_no_header       rep=4 ✓ 390ms  '73'
--- progress: 220/250 calls, 220 written ---
[221/250] art_09 answer_plus_adjacent   rep=0 ✓ 485ms  '73'
[222/250] art_09 answer_plus_adjacent   rep=1 ✓ 375ms  '73'
[223/250] art_09 answer_plus_adjacent   rep=2 ✓ 375ms  '73'
[224/250] art_09 answer_plus_adjacent   rep=3 ✓ 407ms  '73'
[225/250] art_09 answer_plus_adjacent   rep=4 ✓ 406ms  '73'
[226/250] art_10 baseline               rep=0 ✓ 656ms  '1847293'
[227/250] art_10 baseline               rep=1 ✓ 453ms  '1847293'
[228/250] art_10 baseline               rep=2 ✓ 438ms  '1847293'
[229/250] art_10 baseline               rep=3 ✓ 454ms  '1847293'
[230/250] art_10 baseline               rep=4 ✓ 453ms  '1847293'
--- progress: 230/250 calls, 230 written ---
[231/250] art_10 no_answer              rep=0 ✗ 531ms  '2147483647'
[232/250] art_10 no_answer              rep=1 ✗ 453ms  '2147483647'
[233/250] art_10 no_answer              rep=2 ✗ 500ms  '2147483647'
[234/250] art_10 no_answer              rep=3 ✗ 468ms  '2147483647'
[235/250] art_10 no_answer              rep=4 ✗ 454ms  '2147483647'
[236/250] art_10 answer_plus_header     rep=0 ✓ 468ms  '1847293'
[237/250] art_10 answer_plus_header     rep=1 ✓ 438ms  '1847293'
[238/250] art_10 answer_plus_header     rep=2 ✓ 438ms  '1847293'
[239/250] art_10 answer_plus_header     rep=3 ✓ 422ms  '1847293'
[240/250] art_10 answer_plus_header     rep=4 ✓ 406ms  '1847293'
--- progress: 240/250 calls, 240 written ---
[241/250] art_10 answer_no_header       rep=0 ✓ 453ms  '1847293'
[242/250] art_10 answer_no_header       rep=1 ✓ 438ms  '1847293'
[243/250] art_10 answer_no_header       rep=2 ✓ 422ms  '1847293'
[244/250] art_10 answer_no_header       rep=3 ✓ 469ms  '1847293'
[245/250] art_10 answer_no_header       rep=4 ✓ 437ms  '1847293'
[246/250] art_10 answer_plus_adjacent   rep=0 ✓ 500ms  '1847293'
[247/250] art_10 answer_plus_adjacent   rep=1 ✓ 437ms  '1847293'
[248/250] art_10 answer_plus_adjacent   rep=2 ✓ 406ms  '1847293'
[249/250] art_10 answer_plus_adjacent   rep=3 ✓ 391ms  '1847293'
[250/250] art_10 answer_plus_adjacent   rep=4 ✓ 422ms  '1847293'
--- progress: 250/250 calls, 250 written ---

Done. 250 new rows → results\span_ablation.jsonl

=== SCORE BY PROBE × CONDITION (mean over reps) ===
  probe     basel  no_an  answe  answe  answe
  art_01     1.00   0.00   1.00   1.00   1.00
  art_02     1.00   0.00   1.00   1.00   1.00
  art_03     1.00   0.00   1.00   1.00   1.00
  art_04     1.00   0.00   0.00   0.00   1.00
  art_05     1.00   0.00   1.00   1.00   1.00
  art_06     1.00   0.00   1.00   1.00   1.00
  art_07     1.00   0.00   1.00   1.00   1.00
  art_08     1.00   0.00   1.00   1.00   1.00
  art_09     1.00   0.00   1.00   1.00   1.00
  art_10     1.00   0.00   1.00   1.00   1.00

=== REQUIRED SPAN ANALYSIS ===
  probe    answer_span_tok  baseline_pass  no_answer_pass  min_cond
  art_01                20           1.00            0.00  answer_plus_header
  art_02                20           1.00            0.00  answer_plus_header
  art_03                25           1.00            0.00  answer_plus_header
  art_04                19           1.00            0.00  answer_plus_adjacent
  art_05                37           1.00            0.00  answer_plus_header
  art_06                15           1.00            0.00  answer_plus_header
  art_07                67           1.00            0.00  answer_plus_header
  art_08                34           1.00            0.00  answer_plus_header
  art_09                17           1.00            0.00  answer_plus_header
  art_10                31           1.00            0.00  answer_plus_header

=== FAILURES IN BASELINE CONDITION ===
  None.

Summary JSON → results\span_ablation.json
